Karma,score,author
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
10924,0,jessaay
8735,1,st3ph3n
4694,0,MinecraftAndOther
752,0,marriage_iguana
25167,0,poomethazine
461,0,CUN_009
138,0,PerpetuallyOffline
461,1,CUN_009
5,0,OutragedTux
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
281,0,saivert
33600,0,Zeroamer
4160,0,SeDve
467,1,scoopspoof
13978,0,BashirManit
4160,0,SeDve
6176,0,Kranke
13978,0,BashirManit
23584,1,AirPhforce
3180,0,butter_lander
4243,0,teamcoyotes1
5,0,OutragedTux
1,0,NadellaIsMyDaddy
2849,0,effedup
324,0,Naveen_E_
1,0,nan
1525,0,ctm-8400
221,1,yesdaniel
14455,0,TheAnonymouseJoker
4377,0,Boogertwilliams
1541,1,Skindkort
665,0,MintStim
1,0,NadellaIsMyDaddy
30743,0,lannisterstark
2566,0,scarystuff
7147,1,iDareToBeMyself
242,0,jester1983
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
5211,0,the_spookiest_
3234,1,SillyLilBear
6409,0,mathiasfriman
183,0,kachunkachunk
856,0,rcentros
657,0,smol_helper
61570,0,spdorsey
5830,0,EldestPort
4199,1,DarraignTheSane
315,0,The_real_bandito
461,0,Fuzzi99
856,0,rcentros
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
1,0,nan
